plain_roman,count,diacritics,urdu,devanagari,meter
naazukii,1,nāzukī,نازکی,नाज़ुकी,cvcscv
((aziizaan-e,1,ʿazīzān-e,عزیزانِ,अज़ीज़ान-ए,cscvcvcz
milaa,2,milā,ملا,मिला,cscv
shor-e,9,shor-e,شورِ,शोर-ए,cvcz
((aish-o-jaah,1,ʿaish-o-jāh,عیش و جاہ,ऐश‐ओ‐जाह,cvcocvc<h+wb>
lip;taa,1,lipṭā,لپٹا,लिपटा,csccv
le;nge,2,leñge,لیں گے,लेंगे,cv_e_futncv
maq.suud,1,maqṣūd,مقصود,मक़सूद,csccvc
tishnah-lab,1,tishnah-lab,تشنہ لب,तिश्ना-लब,csccsc<h+wb>bcsc
re,2,re,رے,रे,cv
jale,4,jale,جلے,जले,cscv
;xvud-raftagii'haa-e,1,ḳhvud-raftagī'hā-e,خود رفتگیہائے,ख़ुद-रफ़्तगीहा-ए,c<;xv>scbcsccscvbcv<aa+z>z
aabilah-paa,3,ābilah-pā,آبلہ پا,आबिला-पा,vcscsc<h+wb>bcv
ro,2,ro,رو,रो,cv
be-davaa,1,be-davā,بے دوا,बे-दवा,cvbcscv
jaa;n-sipaarii,1,jāñ-sipārī,جاں سپاری,जाँ-सिपारी,cvnbcscvcv
:tuumaar-e,1,t̤ūmār-e,طومارِ,तूमार-ए,cvcvcz
sotaa,1,sotā,سوتا,सोता,cvcv
munaajaat,1,munājāt,مناجات,मुनाजात,cscvcvc
daanah,2,dānah,دانہ,दाना,cvcsc<h+wb>
daanaa,2,dānā,دانا,दाना,cvcv
pahu;nch,1,pahuñch,پہنچ,पहुंच,cscsnc
sahl,1,sahl,سہل,सहल,cscc
aavaaz,7,āvāz,آواز,आवाज़,vcvc
jaa))iyo,1,jāʾiyo,جائیو,जाइयो,cvcscv
;xamosh,3,ḳhamosh,خموش,ख़मोश,cscvc
nakiire;n,1,nakīreñ,نکیریں,नकीरें,cscvcvn
;duubii,1,ḍūbī,ڈوبی,डूबी,cvcv
i((timaad,1,ětimād,اعتماد,एतमाद,sccscvc
qufl-e,2,qufl-e,قفلِ,क़ुफ़्ल-ए,csccz
((arsh,3,ʿarsh,عرش,अर्श,cscc
qa;h:t-e,1,qaḥt̤-e,قحطِ,क़हत-ए,csccz
.suurate;n,1,ṣūrateñ,صورتیں,सूरतें,cvcscvn
;xvaarii,2,ḳhvārī,خواری,ख़्वारी,c<;xv>vcv
qaa))il,1,qāʾil,قائل,क़ाइल,cvcsc
rokaa,2,rokā,روکا,रोका,cvcv
ri.zvaa;n,3,riẓvāñ,رضواں,रिज़वाँ,csccvn
kaam-o-dahan,1,kām-o-dahan,کام و دہن,काम‐ओ‐दहन,cvcocscsc
pai-ravii,1,pai-ravī,پے روی,पै-रवी,cvbcscv
bataa))uu;n,1,batāʾūñ,بتاؤں,बताऊँ,cscvcvn
raakh,1,rākh,راکھ,राख,cvc
guzarte,1,guzarte,گزرتے,गुज़रते,cscsccv
diivaan,1,dīvān,دیوان,दीवान,cvcvc
jaate,9,jāte,جاتے,जाते,cvcv
yak-kaf,1,yak-kaf,یک کف,यक-कफ़,cscbcsc
duu;n,4,dūñ,دوں,दूँ,cvn
nazaakat,1,nazākat,نزاکت,नज़ाकत,cscvcsc
naqaab,8,naqāb,نقاب,नक़ाब,cscvc
rone,3,rone,رونے,रोने,cvcv
shaadaab-e,1,shādāb-e,شادابِ,शादाब-ए,cvcvcz
dil-daar,1,dil-dār,دل دار,दिल-दार,cscbcvc
dushman-e,2,dushman-e,دشمنِ,दुश्मन-ए,csccscz
baa;ndhe,2,bāñdhe,باندھے,बांधे,cvncv
rasaa,4,rasā,رسا,रसा,cscv
:tuu:tii-e,2,t̤ūt̤ī-e,طوطیِ,तूती-ए,cvcv<ii+z>z
darmaa;ndagii,1,darmāñdagī,درماندگی,दर्मांदगी,csccvncscv
be-savaal,1,be-savāl,بے سوال,बे-सवाल,cvbcscvc
fasaa;n,1,fasāñ,فساں,फ़साँ,cscvn
mu.zmar,1,muẓmar,مضمر,मुज़्मर,csccsc
piir,1,pīr,پیر,पीर,cvc
shahiidaan-e,2,shahīdān-e,شہیدانِ,शहीदान-ए,cscvcvcz
zaahidaa;n,1,zāhidāñ,زاہداں,ज़ाहिदाँ,cvcscvn
dono;n,4,donoñ,دونوں,दोनों,cvcvn
