plain_roman,count,diacritics,urdu,devanagari,meter
millate;n,1,millateñ,ملتیں,मिल्लतें,csccscvn
aham,1,aham,اہم,अहम,scsc
jaanaa,21,jānā,جانا,जाना,cvcv
:tama((-e,1,t̤amaʿ-e,طمعِ,तमा-ए,cscscz
ya((quub,2,yaʿqūb,یعقوب,याक़ूब,csccvc
shikaar-e,1,shikār-e,شکارِ,शिकार-ए,cscvcz
duukaan-e,1,dūkān-e,دوکانِ,दूकान-ए,cvcvcz
nau;hah-e,1,nauḥah-e,نوحۂ,नौहा-ए,cvcscz
liyaalii,1,liyālī,لیالی,लियाली,cscvcv
pach,1,pach,پچ,पच,csc
lagan,1,lagan,لگن,लगन,cscsc
ibraam,1,ibrām,ابرام,इब्राम,sccvc
jhukaa,1,jhukā,جھکا,झुका,cscv
minnat,1,minnat,منّت,मिन्नत,csccsc
kavaakib-sipah-o-mihr-((alam,1,kavākib-sipah-o-mihr-ʿalam,کواکب سپہ و مہر علم,कवाकिब-सिपह‐ओ‐मिहर-अलम,cscvcscbcscsc<h+wb>ocsccbcscsc
chhupaa))e,2,chhupāʾe,چھپائے,छुपाए,cscvcv
dabistaa;n,2,dabistāñ,دبستاں,दबिस्ताँ,cscsccvn
;gariib-navaaz,1,ġharīb-navāz,غریب نواز,ग़रीब-नवाज़,cscvcbcscvc
shikastan,2,shikastan,شکستن,शिकस्तन,cscsccsc
faryaadii-e,1,faryādī-e,فریادیِ,फ़रयादी-ए,csccvcv<ii+z>z
dushmanii,3,dushmanī,دشمنی,दुश्मनी,csccscv
tim;saal-e,1,timṡāl-e,تمثالِ,तिमसाल-ए,csccvcz
shaq,1,shaq,شق,शक़,csc
dil-tangii-e,1,dil-tangī-e,دل تنگیِ,दिल-तंगी-ए,cscbcsccv<ii+z>z
adaa-e,3,adā-e,ادائے,अदा-ए,scv<aa+z>z
shab,11,shab,شب,शब,csc
qad,1,qad,قد,क़द,csc
qimaar-;xaanah-e,1,qimār-ḳhānah-e,قمار خانۂ,क़िमार-ख़ाना-ए,cscvcbcvcscz
gul-katar,1,gul-katar,گل کتر,गुल-कतर,cscbcscsc
((inaa;n-giir-e,1,ʿināñ-gīr-e,عناں گیرِ,इनाँ-गीर-ए,cscvnbcvcz
sharmaa))e,1,sharmāʾe,شرمائے,शर्माए,csccvcv
shah,2,shah,شہ,शह,csc<h+wb>
shai,2,shai,شے,शै,cv
qai,1,qai,قے,क़ै,cv
sha;gl,1,shaġhl,شغل,शग़्ल,cscc
pardah-e,5,pardah-e,پردۂ,पर्दा-ए,csccscz
ta;h.siil,1,taḥṣīl,تحصیل,तहसील,csccvc
:taa))uus,2,t̤āʾūs,طاؤس,ताऊस,cvcvc
kholii,1,kholī,کھولی,खोली,cvcv
naa-kaamii-e,1,nā-kāmī-e,نا کامیِ,ना-कामी-ए,cvbcvcv<ii+z>z
aazaado;n,1,āzādoñ,آزادوں,आज़ादों,vcvcvn
darbaa;n,5,darbāñ,درباں,दरबां,csccvn
tamkii;n-aazmaa,1,tamkīñ-āzmā,تمکیں آزما,तमकीं-आज़्मा,csccvnbvccv
mah-ru;xo;n,1,mah-ruḳhoñ,مہ رخوں,मह-रुख़ों,csc<h+wb>bcscvn
;xvud-parastii,1,ḳhvud-parastī,خود پرستی,ख़ुद-परस्ती,c<;xv>scbcscsccv
dil-o-dil,1,dil-o-dil,دل و دل,दिल‐ओ‐दिल,cscocsc
;gamzah-e,2,ġhamzah-e,غمزۂ,ग़म्ज़ा-ए,csccscz
bhale,1,bhale,بھلے,भले,cscv
hangaamah,3,hangāmah,ہنگامہ,हंगामा,csccvcsc<h+wb>
paa))ii,4,pāʾī,پائی,पाई,cvcv
mai-e,5,mai-e,مےِ,मै-ए,cvz
judaa,8,judā,جدا,जुदा,cscv
;xuu-gar,1,ḳhū-gar,خو گر,ख़ू-गर,cvbcsc
;xirqah-o-sajjaadah,1,ḳhirqah-o-sajjādah,خرقہ و سجّادہ,ख़िर्क़ा‐ओ‐सजजादा,csccsc<h+wb>ocsccvcsc<h+wb>
dashnah-o-;xanjar,1,dashnah-o-ḳhanjar,دشنہ و خنجر,दश्ना‐ओ‐ख़ंजर,csccsc<h+wb>ocsccsc
afsurdagii,4,afsurdagī,افسردگی,अफ़्सुर्दगी,sccsccscv
chaar,5,chār,چار,चार,cvc
ham-peshah-o-ham-mashrab-o-ham-raaz,1,ham-peshah-o-ham-mashrab-o-ham-rāz,ہم پیشہ و ہم مشرب و ہم راز,हम-पेशा‐ओ‐हम-मश्रब‐ओ‐हम-राज़,cscbcvcsc<h+wb>ocscbcsccscocscbcvc
.said-e,3,ṣaid-e,صیدِ,सैद-ए,cvcz
;hasuud,2,ḥasūd,حسود,हसूद,cscvc
judaa))ii,1,judāʾī,جدائی,जुदाई,cscvcv
shafaq-aaluudah,1,shafaq-ālūdah,شفق آلودہ,शफ़क़-आलूदा,cscscbvcvcsc<h+wb>
aave,17,āve,آوے,आवे,vcv
ta;gaaful,14,taġhāful,تغافل,तग़ाफ़ुल,cscvcsc
laatii,1,lātī,لاتی,लाती,cvcv
te;g-aazmaa,1,teġh-āzmā,تیغ آزما,तेग़-आज़्मा,cvcbvccv
chaah,1,chāh,چاہ,चाह,cvc<h+wb>
mu.siibat,1,muṣībat,مصیبت,मुसीबत,cscvcsc
chaal,2,chāl,چال,चाल,cvc
sar-sabz,1,sar-sabz,سر سبز,सर-सब्ज़,cscbcscc
rahii,7,rahī,رہی,रही,cscv
dast-o-baazuu-e,1,dast-o-bāzū-e,دست و بازوئے,दस्त‐ओ‐बाज़ू-ए,csccocvcvz
imkaa;n,3,imkāñ,امکاں,इम्काँ,sccvn
.sa;hraa-dast-gaah-o-qa:trah,1,ṣaḥrā-dast-gāh-o-qat̤rah,صحرا دست گاہ و قطرہ,सहरा-दस्त-गाह‐ओ‐क़त्रा,csccvbcsccbcvc<h+wb>ocsccsc<h+wb>
raftah-e,1,raftah-e,رفتۂ,रफ़्ता-ए,csccscz
siinah,6,sīnah,سینہ,सीना,cvcsc<h+wb>
nus;xah'haa-e,1,nusḳhah'hā-e,نسخہہائے,नुस्ख़हहा-ए,csccsc<h+wb>bcv<aa+z>z
dil-jam((ii,1,dil-jamʿī,دل جمعی,दिल-जमी,cscbcsccv
chhupaane,1,chhupāne,چھپانے,छुपाने,cscvcv
farmaa))o,1,farmāʾo,فرماؤ,फ़र्माओ,csccvcv
na:z:zaarah-e,2,naz̤z̤ārah-e,نظّارۂ,नज़्ज़ारा-ए,csccvcscz
.su;hbat-e,5,ṣuḥbat-e,صحبتِ,सुहबत-ए,csccscz
jaa))e;nge,1,jāʾeñge,جائیں گے,जाएंगे,cvcv_e_futncv
ma((shuuq-e,1,maʿshūq-e,معشوقِ,माशूक़-ए,csccvcz
sunaa,4,sunā,سنا,सुना,cscv
dost-daar-e,1,dost-dār-e,دوست دارِ,दोस्त-दार-ए,cvccbcvcz
;habaab-e,1,ḥabāb-e,حبابِ,हबाब-ए,cscvcz
banaa))o,2,banāʾo,بناؤ,बनाओ,cscvcv
kab,16,kab,کب,कब,csc
sau;npaa,1,sauñpā,سونپا,सौंपा,cvncv
maanaa,7,mānā,مانا,माना,cvcv
sha;x.s,3,shaḳhṣ,شخص,शख़्स,cscc
la;z;zat'haa-e,1,lażżat'hā-e,لذّتہائے,लज़्ज़तहा-ए,csccscbcv<aa+z>z
talaafii,2,talāfī,تلافی,तलाफ़ी,cscvcv
;zikr,6,żikr,ذکر,ज़िक्र,cscc
kam-aazaar,1,kam-āzār,کم آزار,कम-आज़ार,cscbvcvc
ihtizaaz,1,ihtizāz,اہتزاز,इह्तिज़ाज़,sccscvc
;xum-kadah,1,ḳhum-kadah,خم کدہ,ख़ुम-कदह,cscbcscsc<h+wb>
((i:tr-e,1,ʿit̤r-e,عطرِ,इत्र-ए,csccz
sar-navisht,2,sar-navisht,سر نوشت,सर-नविश्त,cscbcscscc
;xaa;n,4,ḳhāñ,خاں,ख़ाँ,cvn
dabaa,1,dabā,دبا,दबा,cscv
naa-daanii,1,nā-dānī,نا دانی,ना-दानी,cvbcvcv
dil-;xuftagaa;n,1,dil-ḳhuftagāñ,دل خفتگاں,दिल-ख़ुफ़्तगाँ,cscbcsccscvn
va;hshate,1,vaḥshate,وحشتے,वहशते,csccscv
dil-o-diidah,1,dil-o-dīdah,دل و دیدہ,दिल‐ओ‐दीदा,cscocvcsc<h+wb>
suud-e,2,sūd-e,سودِ,सूद-ए,cvcz
afgaar,1,afgār,افگار,अफ़्गार,sccvc
la;raa))ii,2,laṛāʾī,لڑائی,लड़ाई,cscvcv
ruk,4,ruk,رک,रुक,csc
guftaar-e,1,guftār-e,گفتارِ,गुफ़तार-ए,csccvcz
qada;h-;xvaar,1,qadaḥ-ḳhvār,قدح خوار,क़दह-ख़्वार,cscscbc<;xv>vc
burii,2,burī,بری,बुरी,cscv
juu-e,4,jū-e,جوئے,जू-ए,cvz
fitno;n,1,fitnoñ,فتنوں,फ़ितनों,csccvn
;xaamushii,3,ḳhāmushī,خامشی,ख़ामुशी,cvcscv
bayaa;n,11,bayāñ,بیاں,बयाँ,cscvn
dar-o-diivaar-e,1,dar-o-dīvār-e,در و دیوارِ,दर‐ओ‐दीवार-ए,cscocvcvcz
ummed,1,ummed,امّید,उम्मेद,sccvc
qaabil,2,qābil,قابل,क़ाबिल,cvcsc
ruu,3,rū,رو,रू,cv
subuk-dast,1,subuk-dast,سبک دست,सुबुक-दस्त,cscscbcscc
((iid-e,1,ʿīd-e,عیدِ,ईद-ए,cvcz
qiimat,1,qīmat,قیمت,क़ीमत,cvcsc
dukhte,1,dukhte,دکھتے,दुखते,csccv
aazurdah,3,āzurdah,آزردہ,आज़ुर्दा,vcsccsc<h+wb>
;savaab,2,ṡavāb,ثواب,सवाब,cscvc
giraa;n-maayagii-e,1,girāñ-māyagī-e,گراں مایگیِ,गिराँ-मायगी-ए,cscvnbcvcscv<ii+z>z
;zimmah,1,żimmah,ذمّہ,ज़िम्मा,csccsc<h+wb>
be-zabaano;n,1,be-zabānoñ,بے زبانوں,बे-ज़बानों,cvbcscvcvn
daa;nto;n,1,dāñtoñ,دانتوں,दांतों,cvncvn
shaahinshaah,1,shāhinshāh,شاہنشاہ,शाहिंशाह,cvcsccvc<h+wb>
rezish-e,2,rezish-e,ریزشِ,रेज़िश-ए,cvcscz
dushman,18,dushman,دشمن,दुश्मन,csccsc
guharhaa-e,1,guharhā-e,گہرہائے,गुहरहा-ए,cscsccv<aa+z>z
ham-nafaso;n,1,ham-nafasoñ,ہم نفسوں,हम-नफ़सों,cscbcscscvn
faal-e,2,fāl-e,فالِ,फ़ाल-ए,cvcz
la;rakpan,1,laṛakpan,لڑکپن,लड़क्पन,cscsccsc
:tu((mah,1,t̤uʿmah,طعمہ,तुमा,csccsc<h+wb>
;hijaab-o-vidaa((-e,1,ḥijāb-o-vidāʿ-e,حجاب و وداعِ,हिजाब‐ओ‐विदा-ए,cscvcocscvcz
rindaa;n,2,rindāñ,رنداں,रिंदाँ,csccvn
mizhah-e,3,mizhah-e,مژۂ,मिझ़ा-ए,cscscz
qible,1,qible,قبلے,क़िबले,csccv
mizaaj,1,mizāj,مزاج,मिज़ाज,cscvc
ba((d,12,baʿd,بعد,बाद,cscc
naved-e,2,naved-e,نویدِ,नवेद-ए,cscvcz
uuftaadagii,1,ūftādagī,اوفتادگی,ऊफ़्तादगी,vccvcscv
ho;ngii,1,hoñgī,ہونگی,होंगी,cvncv
nashv-o-numaa,3,nashv-o-numā,نشو و نما,नश्व‐ओ‐नुमा,csccocscv
.sanam-kadah,1,ṣanam-kadah,صنم کدہ,सनम-कदह,cscscbcscsc<h+wb>
u;thtii,2,uṭhtī,اٹھتی,उठती,sccv
;hairaa;n,6,ḥairāñ,حیراں,हैराँ,cvcvn
aisaa,8,aisā,ایسا,ऐसा,vcv
hadyah,1,hadyah,ہدیہ,हद्या,csccsc<h+wb>
nishaanii,2,nishānī,نشانی,निशानी,cscvcv
;haraam,1,ḥarām,حرام,हराम,cscvc
bad-;xuuyaa;n,1,bad-ḳhūyāñ,بد خویاں,बद-ख़ूयाँ,cscbcvcvn
muraad,1,murād,مراد,मुराद,cscvc
asbaab-e,2,asbāb-e,اسبابِ,अस्बाब-ए,sccvcz
z,9,z,ز,ज़,c
naalah'haa-e,4,nālah'hā-e,نالہہائے,नालहहा-ए,cvcsc<h+wb>bcv<aa+z>z
chaahuu;n,2,chāhūñ,چاہوں,चाहूँ,cvcvn
khaate,2,khāte,کھاتے,खाते,cvcv
baa;g,10,bāġh,باغ,बाग़,cvc
tumhii;n,6,tumhīñ,تمہیں,तुम्हीं,tumcvn
samandar,2,samandar,سمندر,समंदर,cscsccsc
shahiid,1,shahīd,شہید,शहीद,cscvc
.sabr-aazmaa,2,ṣabr-āzmā,صبر آزما,सब्र-आज़्मा,csccbvccv
suruur-o-soz,1,surūr-o-soz,سرور و سوز,सुरूर‐ओ‐सोज़,cscvcocvc
nabard-peshah,1,nabard-peshah,نبرد پیشہ,नबर्द-पेशा,cscsccbcvcsc<h+wb>
mardaanah,1,mardānah,مردانہ,मर्दाना,csccvcsc<h+wb>
sitam-:zariif,1,sitam-z̤arīf,ستم ظریف,सितम-ज़रीफ़,cscscbcscvc
zu((m-e,1,zuʿm-e,زعمِ,ज़ुम-ए,csccz
kamar,2,kamar,کمر,कमर,cscsc
nah,447,nah,نہ,न,csc<h+wb>
nai,1,nai,نے,नै,cv
jalvah-e,21,jalvah-e,جلوۂ,जल्वा-ए,csccscz
nam,1,nam,نم,नम,csc
haft,1,haft,ہفت,हफ़्त,cscc
tamaashaa))ii-e,1,tamāshāʾī-e,تماشائیِ,तमाशाई-ए,cscvcvcv<ii+z>z
aa;gosh-kushaa,1,āġhosh-kushā,آغوش کشا,आग़ोश-कुशा,vcvcbcscv
:zann,1,z̤ann,ظنّ,ज़ंन,cscc
mushtaaq-e,1,mushtāq-e,مشتاقِ,मुशताक़-ए,csccvcz
:turrah'haa-e,1,t̤urrah'hā-e,طرّہہائے,तुर्रहहा-ए,csccsc<h+wb>bcv<aa+z>z
;xaalii,7,ḳhālī,خالی,ख़ाली,cvcv
silsilah-e,1,silsilah-e,سلسلۂ,सिल्सिला-ए,csccscscz
u;re;nge,1,uṛeñge,اڑیں گے,उड़ेंगे,scv_e_futncv
inkaar,1,inkār,انکار,इंकार,sccvc
fareftah-e,1,fareftah-e,فریفتۂ,फ़रेफ़्ता-ए,cscvccscz
sazaa-e,1,sazā-e,سزائے,सज़ा-ए,cscv<aa+z>z
mihr-aasaa,1,mihr-āsā,مہر آسا,मिहर-आसा,csccbvcv
na;gmah,5,naġhmah,نغمہ,नग़्मा,csccsc<h+wb>
kaa;ga;z-e,3,kāġhaż-e,کاغذِ,काग़ज़-ए,cvcscz
jaise,7,jaise,جیسے,जैसे,cvcv
ga))ii,29,gaʾī,گئی,गई,cscv
bhaagne,1,bhāgne,بھاگنے,भागने,cvccv
man:zuur,7,manz̤ūr,منظور,मंज़ूर,csccvc
majnuu;n,15,majnūñ,مجنوں,मजनूँ,csccvn
but-e,14,but-e,بتِ,बुत-ए,cscz
parastish,1,parastish,پرستش,परस्तिश,cscsccsc
a;sar,7,aṡar,اثر,असर,scsc
;xuu;n-baar-e,1,ḳhūñ-bār-e,خوں بارِ,ख़ूँ-बार-ए,cvnbcvcz
giryah-e,2,giryah-e,گریۂ,गिर्या-ए,csccscz
chahrah,1,chahrah,چہرہ,चहरा,csccsc<h+wb>
la;rtaa,1,laṛtā,لڑتا,लड़ता,csccv
go,13,go,گو,गो,cv
miizaan-e,1,mīzān-e,میزانِ,मीज़ान-ए,cvcvcz
i;htiyaa:t,1,iḥtiyāt̤,احتیاط,इह्तियात,sccscvc
radiif-e,1,radīf-e,ردیفِ,रदीफ़-ए,cscvcz
u;th,6,uṭh,اٹھ,उठ,sc
kaasah,1,kāsah,کاسہ,कासा,cvcsc<h+wb>
muzhdah-e,2,muzhdah-e,مژدۂ,मुझ़्दा-ए,csccscz
khi;nchtaa,2,khiñchtā,کھنچتا,खिंचता,csnccv
bai;thaa,5,baiṭhā,بیٹھا,बैठा,cvcv
saaye,2,sāye,سایے,साये,cvcv
utrii,1,utrī,اتری,उत्री,sccv
dare;g,2,dareġh,دریغ,दरेग़,cscvc
baa;g-baan,1,bāġh-bān,باغ بان,बाग़-बान,cvcbcvc
aashuftah-sar,2,āshuftah-sar,آشفتہ سر,आशुफ़्ता-सर,vcsccsc<h+wb>bcsc
baqaa,1,baqā,بقا,बक़ा,cscv
balaa))o;n,1,balāʾoñ,بلاؤں,बलाओं,cscvcvn
va;hshat-;xiraamiihaa-e,1,vaḥshat-ḳhirāmīhā-e,وحشت خرامیہائے,वहशत-ख़िरामीहा-ए,csccscbcscvcvcv<aa+z>z
maar,1,mār,مار,मार,cvc
maal,2,māl,مال,माल,cvc
;gaafil,12,ġhāfil,غافل,ग़ाफ़िल,cvcsc
maan,2,mān,مان,मान,cvc
maah,1,māh,ماہ,माह,cvc<h+wb>
pardah-sanj-e,1,pardah-sanj-e,پردہ سنجِ,पर्दा-संज-ए,csccsc<h+wb>bcsccz
.safaa-e,1,ṣafā-e,صفائے,सफ़ा-ए,cscv<aa+z>z
musarrat-e,1,musarrat-e,مسرّتِ,मुसर्रत-ए,cscsccscz
roke,1,roke,روکے,रोके,cvcv
kartii,4,kartī,کرتی,करती,csccv
ziist,1,zīst,زیست,ज़ीस्त,cvcc
fitnah-inti:zaar,1,fitnah-intiz̤ār,فتنہ انتظار,फ़ित्ना-इंतिज़ार,csccsc<h+wb>bsccscvc
nisyah-o-naqd-e,1,nisyah-o-naqd-e,نسیہ و نقدِ,निस्या‐ओ‐नक़्द-ए,csccsc<h+wb>ocsccz
:tilism-e,4,t̤ilism-e,طلسمِ,तिलिस्म-ए,cscsccz
kare;nge,2,kareñge,کریں گے,करेंगे,cscv_e_futncv
baadah-e,4,bādah-e,بادۂ,बादा-ए,cvcscz
((ahd-e,3,ʿahd-e,عہدِ,अहद-ए,csccz
surmah-e,1,surmah-e,سرمۂ,सुर्मा-ए,csccscz
naaz-o-adaa,1,nāz-o-adā,ناز و ادا,नाज़‐ओ‐अदा,cvcoscv
ba((iid,1,baʿīd,بعید,बीद,cscvc
miraa,19,mirā,مرا,मिरा,cscv
naa-tamaamii,3,nā-tamāmī,نا تمامی,ना-तमामी,cvbcscvcv
honaa,14,honā,ہونا,होना,cvcv
jur))at-aazmaa,1,jurʾat-āzmā,جرئت آزما,जुरअत-आज़्मा,csccscbvccv
((aql,1,ʿaql,عقل,अक़्ल,cscc
havaa-;xvaahii,1,havā-ḳhvāhī,ہوا خواہی,हवा-ख़्वाही,cscvbc<;xv>vcv
ya((nii,13,yaʿnī,یعنی,यानी,csccv
;garqah-e,2,ġharqah-e,غرقۂ,ग़र्क़ा-ए,csccscz
aazmaane,2,āzmāne,آزمانے,आज़्माने,vccvcv
;gaflat-shi((aarii,1,ġhaflat-shiʿārī,غفلت شعاری,ग़फ़्लत-शिारी,csccscbcscvcv
afsuun-e,2,afsūn-e,افسونِ,अफ़्सून-ए,sccvcz
tim;saal-daar,2,timṡāl-dār,تمثال دار,तिमसाल-दार,csccvcbcvc
shukr,1,shukr,شکر,शुक्र,cscc
shab'haa-e,4,shab'hā-e,شبہائے,शबहा-ए,cscbcv<aa+z>z
ba;xt-e,2,baḳht-e,بختِ,बख़्त-ए,csccz
mihr-vash,1,mihr-vash,مہر وش,मिहर-वश,csccbcsc
na.sii;hat-niyosh,1,naṣīḥat-niyosh,نصیحت نیوش,नसीहत-नियोश,cscvcscbcscvc
paadaash-e,1,pādāsh-e,پاداشِ,पादाश-ए,cvcvcz
rihaa,1,rihā,رہا,रिहा,cscv
zamiin,2,zamīn,زمین,ज़मीन,cscvc
la:tmah-e,1,lat̤mah-e,لطمۂ,लत्मा-ए,csccscz
kuuchah-e,3,kūchah-e,کوچۂ,कूचा-ए,cvcscz
((adl,1,ʿadl,عدل,अद्ल,cscc
be-mudda((aa,1,be-muddaʿā,بے مدّعا,बे-मुद््दआ,cvbcsccscv
purkaar,1,purkār,پرکار,पुरकार,csccvc
dare;gaa,1,dareġhā,دریغا,दरेग़ा,cscvcv
shajar-e,1,shajar-e,شجرِ,शजर-ए,cscscz
rahrau,1,rahrau,رہرو,रहरौ,csccv
chand,4,chand,چند,चंद,cscc
chang,1,chang,چنگ,चंग,cscc
i((timaad-e,2,ětimād-e,اعتمادِ,एतमाद-ए,sccscvcz
:ta((no;n,1,t̤aʿnoñ,طعنوں,तानों,csccvn
jahaa;n-taab,2,jahāñ-tāb,جہاں تاب,जहाँ-ताब,cscvnbcvc
zii;n,1,zīñ,زیں,ज़ीं,cvn
niim-baaz,1,nīm-bāz,نیم باز,नीम-बाज़,cvcbcvc
nafas,13,nafas,نفس,नफ़स,cscsc
ra;hmat-e,1,raḥmat-e,رحمتِ,रहमत-ए,csccscz
naisitaa;n-((aalam,1,naisitāñ-ʿālam,نیستاں عالم,नैसिताँ-आलम,cvcscvnbcvcsc
mu;nh,20,muñh,منہ,मुंह,csnc<h+wb>
gurezaa;n,2,gurezāñ,گریزاں,गुरेज़ाँ,cscvcvn
;haal-e,5,ḥāl-e,حالِ,हाल-ए,cvcz
mu;nd,2,muñd,مند,मुंद,csnc
;xastah-e,1,ḳhastah-e,خستۂ,ख़स्ता-ए,csccscz
baa;ndhtaa,1,bāñdhtā,باندھتا,बांधता,cvnccv
;gam-;xvaar-e,2,ġham-ḳhvār-e,غم خوارِ,ग़म-ख़्वार-ए,cscbc<;xv>vcz
use,16,use,اسے,उसे,scv
biga;r,2,bigaṛ,بگڑ,बिगड़,cscsc
;xvud-raftah-e,1,ḳhvud-raftah-e,خود رفتۂ,ख़ुद-रफ़्ता-ए,c<;xv>scbcsccscz
guhar-baar,1,guhar-bār,گہر بار,गुहर-बार,cscscbcvc
rahtaa,1,rahtā,رہتا,रहता,csccv
;tapaktii,1,ṭapaktī,ٹپکتی,टपकती,cscsccv
qa:trah-o-mauj-o-;habaab,1,qat̤rah-o-mauj-o-ḥabāb,قطرہ و موج و حباب,क़त्रा‐ओ‐मौज‐ओ‐हबाब,csccsc<h+wb>ocvcocscvc
fat;h,1,fatḥ,فتح,फ़त्ह,cscc
;xamyaazah-e,2,ḳhamyāzah-e,خمیازۂ,ख़मयाज़ा-ए,csccvcscz
be-;xvaabii,2,be-ḳhvābī,بے خوابی,बे-ख़्वाबी,cvbc<;xv>vcv
vaadii-e,4,vādī-e,وادیِ,वादी-ए,cvcv<ii+z>z
mihr-o-maah,1,mihr-o-māh,مہر و ماہ,मिहर‐ओ‐माह,csccocvc<h+wb>
ha;ns,2,hañs,ہنس,हंस,csnc
aa;nkh,9,āñkh,آنکھ,आंख,vnc
jaam-e,7,jām-e,جامِ,जाम-ए,cvcz
aaluudah,1,ālūdah,آلودہ,आलूदा,vcvcsc<h+wb>
chaalaak,1,chālāk,چالاک,चालाक,cvcvc
afshaa;n,2,afshāñ,افشاں,अफ़्शाँ,sccvn
jaa;n-gusil,1,jāñ-gusil,جاں گسل,जाँ-गुसिल,cvnbcscsc
gosht,1,gosht,گوشت,गोश्त,cvcc
samaa))ii,1,samāʾī,سمائی,समाई,cscvcv
dum-e,1,dum-e,دمِ,दुम-ए,cscz
zindaan-e,1,zindān-e,زندانِ,ज़िंदान-ए,csccvcz
goshe,1,goshe,گوشے,गोशे,cvcv
bojh,1,bojh,بوجھ,बोझ,cvc
paasbaa;n,2,pāsbāñ,پاسباں,पासबाँ,cvccvn
kahii;n,15,kahīñ,کہیں,कहीं,cscvn
tar,8,tar,تر,तर,csc
diidah,3,dīdah,دیدہ,दीदा,cvcsc<h+wb>
kahaaro;n,1,kahāroñ,کہاروں,कहारों,cscvcvn
:zulm,6,z̤ulm,ظلم,ज़ुल्म,cscc
bulaa))e,2,bulāʾe,بلائے,बुलाए,cscvcv
.sahbaa-e,1,ṣahbā-e,صہبائے,सहबा-ए,csccv<aa+z>z
yak-aa))iinah-daar-e,1,yak-āʾīnah-dār-e,یک آئینہ دارِ,यक-आईना-दार-ए,cscbvcvcsc<h+wb>bcvcz
qad-e,2,qad-e,قدِ,क़द-ए,cscz
;xudaa-saaz,1,ḳhudā-sāz,خدا ساز,ख़ुदा-साज़,cscvbcvc
taa,29,tā,تا,ता,cv
tab,4,tab,تب,तब,csc
giyaah,1,giyāh,گیاہ,गियाह,cscvc<h+wb>
:tabii((ii,1,t̤abīʿī,طبیعی,तबीई,cscvcv
tan,12,tan,تن,तन,csc
tak,29,tak,تک,तक,csc
ro))e;n,1,roʾeñ,روئیں,रोएँ,cvcvn
piyaa,1,piyā,پیا,पिया,cscv
kamaan,1,kamān,کمان,कमान,cscvc
;xalq,6,ḳhalq,خلق,ख़ल्क़,cscc
kamaal,2,kamāl,کمال,कमाल,cscvc
gurg,1,gurg,گرگ,गुर्ग,cscc
naumiid,1,naumīd,نومید,नौमीद,cvcvc
asiiraan-e,1,asīrān-e,اسیرانِ,असीरान-ए,scvcvcz
talak,10,talak,تلک,तलक,cscsc
fard,2,fard,فرد,फ़र्द,cscc
shu((aa-e,1,shuʿā-e,شعائے,शुआ-ए,cscv<aa+z>z
((iid,2,ʿīd,عید,ईद,cvc
faro,1,faro,فرو,फ़रो,cscv
((uhde,1,ʿuhde,عہدے,उहदे,csccv
ba;hr,4,baḥr,بحر,बहर,cscc
farq,3,farq,فرق,फ़र्क़,cscc
ba;gair-e,1,baġhair-e,بغیرِ,बग़ैर-ए,cscvcz
paas,12,pās,پاس,पास,cvc
bataa,1,batā,بتا,बता,cscv
hazaaro;n,2,hazāroñ,ہزاروں,हज़ारों,cscvcvn
baanii,1,bānī,بانی,बानी,cvcv
ranjuur,2,ranjūr,رنجور,रंजूर,csccvc
;dhuu;n;dtaa,1,ḍhūñḍtā,ڈھونڈتا,ढूंडता,cvnccv
bodaa,2,bodā,بودا,बोदा,cvcv
((ayaar-e,1,ʿayār-e,عیارِ,अयार-ए,cscvcz
u;thaane,2,uṭhāne,اٹھانے,उठाने,scvcv
paak,2,pāk,پاک,पाक,cvc
aastii;n,1,āstīñ,آستیں,आस्तीं,vccvn
fai.z-e,2,faiẓ-e,فیضِ,फ़ैज़-ए,cvcz
aa))iin-e,1,āʾīn-e,آئینِ,आईन-ए,vcvcz
((arbadah-maidaa;n,1,ʿarbadah-maidāñ,عربدہ میداں,अर्बदा-मैदाँ,csccscsc<h+wb>bcvcvn
aafiriinish,1,āfirīnish,آفرینش,आफ़िरीनिश,vcscvcsc
sharaar-e,2,sharār-e,شرارِ,शरार-ए,cscvcz
nigah,13,nigah,نگہ,निगह,cscsc<h+wb>
piine,1,pīne,پینے,पीने,cvcv
balaa-e,3,balā-e,بلائے,बला-ए,cscv<aa+z>z
az-baskih,1,az-baskih,از بسکہ,अज़-बस्कि,scbcsccsc<h+wb>
khet,1,khet,کھیت,खेत,cvc
turbat,1,turbat,تربت,तुर्बत,csccsc
mun;ha.sir,1,munḥaṣir,منحصر,मुंहसिर,csccscsc
khel,3,khel,کھیل,खेल,cvc
jiine,3,jīne,جینے,जीने,cvcv
;xastah,3,ḳhastah,خستہ,ख़स्ता,csccsc<h+wb>
supurd,1,supurd,سپرد,सुपुर्द,cscscc
lau;h-e,1,lauḥ-e,لوحِ,लौह-ए,cvcz
abruu-e,1,abrū-e,ابروئے,अब्रू-ए,sccvz
dar-maa;ndagii,1,dar-māñdagī,در ماندگی,दर-मांदगी,cscbcvncscv
tu;xm-e,1,tuḳhm-e,تخمِ,तुख़्म-ए,csccz
shoriidah-e,1,shorīdah-e,شوریدۂ,शोरीदा-ए,cvcvcscz
.sadaa,11,ṣadā,صدا,सदा,cscv
aadmii,6,ādmī,آدمی,आद्मी,vccv
